"Name","Country","Continent","Description","Category","Origins"
"Golden Temple","India","Asia","Punjab's Spiritual Home","Religion","Man-made"
"Central Kalahari Game Reserve","Bostwana","Africa","Soulful Kalahari Heartland","Wildlife","Natural"
"Beit She'an","Israel","Asia","Snapshot of Pronvincial Rome","Historical Site","Man-made"
"Majorelle Garden","Morocco","Africa","Rainbow-hued Bontanical Garden","Musuem","Man-made"
"Bioluminescent Bays","Puerto Rico","North America","Luminous Marine Phenomeon","Water Feature","Natural"
"Tian Tan Buddha","China","Asia","Hilltop Bronze Giant","Religion","Man-made"
"Makhtesh Ramon","Israel","Asia","Israel's Grand Canyon","Geological Feature","Natural"
"Grotte De Lascaux","France","Europe","Vast Prehistroic Gallery","Historical Site","Man-made"
"Jokhang Temple","Tibet","Asia","Atmospheric Spirtual Heart","Religion","Man-made"
"Kigali Memorial Centre","Rwanda","Africa","Remembering Rwanda's Darkest Hour","Historical Site","Man-made"
"Lisbon's Alfama","Portugal","Europe","Heart of a City","District/Square","Man-made"
"Museo del Oro","Colombia","South America","Unearthing Buried Treasure","Musuem","Man-made"
"Museumsquartier","Austria","Europe","Vienna's Art Nexus","District/Square","Man-made"
"798 Art District","China","Asia","Industrial Art","District/Square","Man-made"
"D-Day Beaches","France","Europe","The Unforgotten Sands","Historical Site","Natural"
"Bialowieza Forest","Poland","Europe","Primeval Bison Forest","Wildlife","Natural"
"N Seoul Tower","South Korea","Asia","Beloved Landmark Tower","Modern Attractions","Man-made"
"Lake Manasarovar","Tibet","Asia","Holiest of Holy Lakes","Water Feature","Natural"
"Grossglockner Road","Austria","Europe","Ultimate Road Trip","Adventure/Activity","Natural"
"Pelourinho","Brazil","South America","Historic Nexus with Rhythm","District/Square","Man-made"
"Glacier Skywalk","Canada","North America","Floating in the Rockies","Adventure/Activity","Man-made"
"Casino Monte Carlo","Monaco","Europe",""Glitzy"," Glam Hedonism"","Adventure/Activity","Man-made"
"Lahore Fort","Pakistan","Asia","Atmospheric Mughal Complex","Palace/Castle","Man-made"
"Ishak Pasa Palace","Turkey","Asia","Storybook Turkish Palace","Palace/Castle","Man-made"
"Mo'orea","French Polynesia","Oceania","Postcard-perfect Tropical Isle","Water Feature","Natural"
"Snaefellsnes","Iceland","Europe","Eerie Volcanic Majesty","Nature Landscape","Natural"
"Himeji Castle","Japan","Asia","Samurai Stronghold","Palace/Castle","Man-made"
"Sedlec Ossuary","Czech Republic","Europe","Monastic Gothic Horror","Religion","Man-made"
"Ait Benhaddou","Morocco","Africa","Moroccan Mud Fortress","Palace/Castle","Man-made"
"Fatehpur Sikri","India","Asia","Heavenly Saint's City","Historical Site","Man-made"
"Blyde River Canyon","South Africa","Africa","Water Soaked Gaint Gorge","Geological Feature","Natural"
"Ancient Persepolis","Iran","Asia","Persia Finest's Moment","Historical Site","Man-made"
"Ao Phang-Nga","Thailand","Asia","A View to Kill","Water Feature","Natural"
"Geysir","Iceland","Europe","The Great Geyser","Water Feature","Natural"
"Lake Malawi","Malawi/Tanzania","Africa","African Queen","Water Feature","Natural"
"Teatre-Museu Dali","Spain","Europe","Wonderful World of Dali","Musuem","Man-made"
"Karlstejn Castle","Czech Republic","Europe","Hilltop Medievel Fort","Palace/Castle","Man-made"
"Danube Delta","Romania","Europe","Biodiverse Waterworld","Wildlife","Natural"
"Blue Ridge Parkway","USA","North America","Parkway to Heaven","Adventure/Activity","Man-made"
"Brecon Beacons","Wales","Europe",""Mountains"," Market Towns & Monuments"","Geological Feature","Natural"
"Kalemegdan","Serbia","Europe","Belgrade's Bloody Bastion","Palace/Castle","Man-made"
"Punakha Dzong","Bhutan","Asia",""Ding Dong"," What a Dzong"","Palace/Castle","Man-made"
"Glover's Reef","Belize","North America","Gilligan's Archipelago","Wildlife","Natural"
"Meeting of the Waters","Brazil","South America","Colourful Confluence","Water Feature","Natural"
"Baalbek","Lebanon","Asia","City of the Sun","Historical Site","Man-made"
"Museu Picasso","Spain","Europe","Picasso in Barcelona","Musuem","Man-made"
"Mosteiro dos Jeronimos","Portugal","Europe","Organis Architectual Fantasy","Religion","Man-made"
"Tintern Abbey","Wales","North America","Artistic Insipiration on the Wye","Religion","Man-made"
"Tosho-gu Shrine","Japan","Asia","Elaborate Shinto Shrine","Religion","Man-made"
"Pamukkale","Turkey","Asia","Cotton Castle Mountain","Water Feature","Natural"
"Diocletian's Palace","Croatia","Europe","Living History on the Adriatic","Palace/Castle","Man-made"
"Ruta de las Flores","El Salvador","North America","An Achingly Scenic Highland Drive","Adventure/Activity","Natural"
"Cliffs of Moher","Ireland","Europe","Old World's End","Geological Feature","Natural"
"Isla del Sol","Bolivia","South America","Cradle of the Sun","Historical Site","Man-made"
"Jesuit Missions of Trinidad and Jesus","Paraguay","South America","Moving Memories of Mission Improbable","Religion","Man-made"
"Parque Nacional dos Lencois Maranhenses","Brazil","South America","Otherworldly Land of Dunes & Langoons","Water Feature","Natural"
"Polonnaruwa","Sri Lanka","Asia","Remnants of a Royal Kingdom","District/Square","Man-made"
""Cathedral"," Santiago de Compostela"","Spain","Europe","The Flamboyant Climax to the Camino","Religion","Man-made"
"Komodo National Park","Indonesia","Asia","Where Dragons Still Roam","Wildlife","Natural"
"Kelvingrove Art Gallery & Musuem","Scotland","Europe","Cathedreal of Scottish Culture","Musuem","Man-made"
"Copan","Honduras","North America","Honduras' Mayan Gem","Historical Site","Man-made"
"Hill of Crosses","Lithuania","Europe","Eerie Devotional Site","Religion","Man-made"
"Wolf's Lair","Poland","Europe","Hitler's Hideout","Historical Site","Man-made"
"Cartagena Old Town","Colombia","South America","Caribbean Colourfest","District/Square","Man-made"
"Tsarskoe Selo","Russia","Europe","The Empress' Playground","Palace/Castle","Man-made"
"Mt Rushmore","USA","North America","Four Story Fellows","Geological Feature","Man-made"
"Butrint","Albania","Europe","Window into the Ancient World","Historical Site","Man-made"
"Burgess Shale","Canada","North America","Dinosaur Lover's Delight","Historical Site","Natural"
"Loch Lomond","Scotland","Europe","Celtic Cracker","Water Feature","Natural"
"Blue Hole","Belize","North America","Depth-Defying Adventure Awaits","Adventure/Activity","Natural"
"Thiksey Monastery","India","Asia","Monastic Kingdom","Religion","Man-made"
"National Palace Museum","Taiwan","Asia","The Dragon's (Art) Hoard","Musuem","Man-made"
"Hadrian's Wall","England","Europe","Wonderwall","Historical Site","Man-made"
"Galle Fort","Sri Lanka","Asia","Captivating Colonial-era Sea Fort","Palace/Castle","Man-made"
"Great Zimbabwe","Zimbabwe","Africa","Medieval Marvel","Palace/Castle","Man-made"
"Swayambhunath","Nepal","Asia","Intoxicating Electic Temple","Religion","Man-made"
"Tuoal Sleng & the Killing Fields","Cambodia","Asia","A Walk on Humanity's Dark Side","Historical Site","Man-made"
"Standing Stones of Callanis","Scotland","Europe","Silent Stone Sentinels","Religion","Man-made"
"Avebury Stone Circle","England","Europe","Hub of Impenetrable Ancient Slabs","Historical Site","Man-made"
"Caracol","Belize","North America",""Belize's Hidden"," Mysterious Metropolis"","Historical Site","Man-made"
"Malbork Castle","Poland","Europe","Knight at the Musuem","Palace/Castle","Man-made"
"Temple of the Tooth","Sri Lanka","Asia","Sri Lanka's Gnasher Treasure","Religion","Man-made"
"La Boca District","Argentina","South America","Mouth of the South","District/Square","Man-made"
"Heydar Aliyev Cultural Centre","Azerbaijin","Europe","Azerbaijin's Architectural Icon","Modern Attractions","Man-made"
"Kashgar's Grand Bazaar","China","Asia","Seductive Spice Temple","District/Square","Man-made"
"Bardo National Museum","Tunisia","Africa","North Africa's Majestic Mosiacs","Musuem","Man-made"
"Salzwelten","Austria","Europe","Iron-age Salt Underworld","Historical Site","Man-made"
"Khao Sok National Park","Thailand","Asia","Where Tigers still Roam","Wildlife","Natural"
"Mansudae Grand Monument","North Korea","Asia","Epicentre of the Kim Cult","Historical Site","Man-made"
"Etosha National Park","Namibia","Africa","Big Game? A Stroll in the Park","Wildlife","Natural"
"Port Arthur","Australia","Oceania","Beautifully Preserved Penitentiary","Historical Site","Man-made"
"Jungfraujoch","Switzerland","Europe","Out-of-this-World Alps Train Ride","Adventure/Activity","Man-made"
"Phu Quoc Island","Vietnam","Asia","Desert-island Dream","Water Feature","Natural"
"Melk Abbey","Austria","Europe","Monastic Golden Art","Religion","Man-made"
"Nazca Lines","Peru","South America","A Beautiful Mystery","Historical Site","Man-made"
"Cementerio de le Recoleta","Argentina","South America","Celebrity Cemetry","Religion","Man-made"
"Altun Ha","Belize","North America","The Place Behind the Beer","Historical Site","Man-made"
"Khongoryn Els","Mongolia","Asia","Specutacular Dune Country","Nature Landscape","Natural"
"Titanic Belfast","Northern Ireland","Europe","One Hull of a Musuem","Musuem","Man-made"
"Zwinger","Germany","Europe","Baroque Chamber","Palace/Castle","Man-made"
"Skeleton Coast","Namibia","Africa","Off-the-Chart Nature","Water Feature","Natural"
"Iona","Scotland","Europe","Scotland's Spiritual Heart","Water Feature","Natural"
"Stirling Castle","Scotland","Europe","Castle to Rival Edinburgh","Palace/Castle","Man-made"
"Zocalo","Mexico","North America","Mexico City's Beating Heart","Historical Site","Man-made"
"Nyungwe Forest National Park","Rwanda","Africa","Chimps in the Deep Forest","Nature Landscape","Natural"
"St Fagans National History Musuem","Wales","Europe","History Brought to Life","Musuem","Man-made"
"Eisriesenwelt","Austria","Europe","Ice Kingdom under the Mountain","Geological Feature","Natural"
"Pafos Archaeological Site","Cyprus","Europe","Ancient Greek City","Historical Site","Man-made"
"Lavena Costal Walk","Fiji","Oceania","Amble in Paradise","Nature Landscape","Natural"
"Brandenburg Gate","Germany","Europe","Immortal Portal","Historical Site","Man-made"
"Amboseli National Park","Kenya","Africa","Elephants below Kilimanjaro","Wildlife","Natural"
"Ifugao (Banaue) Rice Terraces","Philippines","Asia","Vibrant Organic Art","Nature Landscape","Man-made"
"Carpathian National Park","Ukraine","Europe","Carpathian Adventure Land","Nature Landscape","Natural"
"Segovia's Acueducto","Spain","Europe","Surreal Symbol of Roman Ingenuity","Historical Site","Man-made"
"Ipanema Beach","Brazil","South America","The World's Sexiest Beach","Water Feature","Natural"
"Matmata","Tunisia","Africa","Sci-fi Style Sleeping","Modern Attractions","Man-made"
"Everglades National Park","USA","North America","Florida's Sublime Swampland","Water Feature","Natural"
"Sea of Galilee","Israel","Asia","Beaches & Bible Stories","Water Feature","Natural"
"Ostrog Monastery","Montenegro","Europe","Montenegro's Miracle Monastery","Religion","Man-made"
"Kinderdijk Windmills","Netherlands","Europe",""Peace"," Quiet & Whooshing Windmills"","Modern Attractions","Man-made"
"Church of Sveti Jovan Bigorski","Macedonia","Europe","The World of an Icon","Religion","Man-made"
"Hal Saflieni Hypogeum","Malta","Europe","Malta's Most Mysterious Mausoleum","Historical Site","Man-made"
"Taipei 101","Taiwan","Asia","Tower Above Taipei","Modern Attractions","Man-made"
"Si Phan Don","Laos","Asia","Go with the Flow in Laos","Water Feature","Man-made"
"Church on the Spilled Blood","Russia","Europe","Church or Ice-cream Sundae","Religion","Man-made"
"Archipielago de San Blas","Panama","North America","Panama's Secret Islands","Nature Landscape","Natural"
"Kyevo-Perherska Lavra","Ukraine","Europe",""Mystery"," Mummies"," Magic"","Religion","Man-made"
"Horton Plains & World's End","Sri Lanka","Asia",""Where the World (well"," Sri Lanka) Ends"","Geological Feature","Natural"
"Mt Roraima","Venezuela/Brazil/Guyana","South America","Enter the Lost World","Geological Feature","Natural"
"Nizwa Fort","Oman","Asia","Oman's Most Formidable Fort","Palace/Castle","Man-made"
"Bucovina Monastries","Romania","Europe","Wall-painting Wow!","Religion","Man-made"
"L'Anse aux Meadows","Canada","North America","So the Vikings did discover America?","Historical Site","Natural"
"Black Forest","Germany","Europe","Germany's Fairy-tale Forest","Nature Landscape","Natural"
"Mt Fuji ","Japan","Asia","Japan's Must-see Mountain","Geological Feature","Natural"
"The Mighty Volcano (Piton de la Fournaise)","Reunion Island","Asia","Mordor in the Indian Ocean","Geological Feature","Natural"
"Mt Kenya","Kenya","Africa","Hit Glacial Equatorial Highs","Geological Feature","Natural"
"Kalon Minaret","Uzbekistan","Asia",""Mighty mosque"," Mighty Minaret"","Religion","Man-made"
"Trakai Castle","Lithuania","Europe","Live Life a Knight in Lithuania","Palace/Castle","Man-made"
"El-Jem","Tunisia","Africa","Africa's Great Amphitheatre","Historical Site","Man-made"
"Schilthorn","Switzerland","Europe","Views to Make Your Head Spin","Geological Feature","Natural"
"Griffith Observatory","USA","North America","LA's Real Map of the Stars","Modern Attractions","Man-made"
"Tower of London","England","Europe","England's Crowning Jewel","Historical Site","Man-made"
"Trinity College","Ireland","Europe","University Greens","Modern Attractions","Man-made"
"Capital Castles","Luxembourg","Europe",""Smal Nation"," Big Castle Collection"","Palace/Castle","Man-made"
"Camp Nou","Spain","Europe","Football's Catalan Home","Adventure/Activity","Man-made"
"Panama Canal","Panama","North America","Short Cut from the Atlantic to the Pacific","Modern Attractions","Man-made"
"Bay Islands","Honduras","North America","The Real Pirate Bay","Water Feature","Natural"
"Monet's Garden","France","Europe","Monet's Cornucopoa of Colour","Nature Landscape","Man-made"
"Grouse Mountain","Canada","North America","View Vancouver like Eagles Do","Geological Feature","Natural"
"Graceland","USA","North America","Visit the King's Own Castle","Historical Site","Man-made"
"To Sua Ocean Trench","Samoa","Oceania","Beautiful Blue Hole","Water Feature","Natural"
"Plaza Mayor","Cuba","North America","Chilled Colonial Charm","District/Square","Man-made"
"Flander Fields","Belgium","Europe","In Flander Fields the Poppies Blow","Historical Site","Man-made"
"Pol-e Khaju","Iran","Asia","The Shah's Bridge","Historical Site","Man-made"
"Sanduny Baths","Russia","Europe","Moscow's Beautiful Banya","Adventure/Activity","Man-made"
"Canon del Colca ","Peru","South America","Truly Grand Canyon","Geological Feature","Natural"
"Spis Castle","Slovakia","Europe",""Spooky"," Slovakian & Spectacular"","Palace/Castle","Man-made"
"Aletsch Galcier","Switzerland","Europe","The Definitive River of Ice","Water Feature","Natural"
"Mt Ararat","Turkey","Asia","A Suitable Resting Place for an Ark","Geological Feature","Natural"
"Stingray City","Cayman Islands","North America","What a Way to Catch Some Rays","Wildlife","Natural"
"Foteviken Viking Reserve","Sweden","Europe",""Norse"," No Nonsense"","Historical Site","Man-made"
"Wawel Castle","Poland","Europe","Poland's Pride","Palace/Castle","Man-made"
"Rock-Hewn Church of Tigray","Ethiopia","Africa","Heavenly Hewn Adventure","Religion","Man-made"
"Isla Mujeres","Mexico","North America","Cancun's Blissful Backyard","Water Feature","Natural"
"Fingal's Caves","Scotland","Europe",""Rocks"," Giants & Geometry"","Geological Feature","Natural"
"Leaning Tower of Pisa","Italy","Europe","Tipping Point","Historical Site","Man-made"
"Orheiul Vechi","Moldova","Europe","Captivating Caverns","Geological Feature","Natural"
"Musee Oceanographique de Monaco","Monaco","Europe","Amazing Antique Aquarium ","Musuem","Man-made"
"Oslo Opera House","Norway","Asia","Ice-cool Design Icon","Modern Attractions","Man-made"
"Kolmanskop","Namibia","Africa","The Diamond Mining Town Abandoned to the Desert","Modern Attractions","Man-made"
"Mutrah Souq","Oman","Asia","Magical Muslim Marketplace","District/Square","Man-made"
"Rock of Cashel","Ireland","Europe","Rock of Ages","Palace/Castle","Man-made"
"Erdene Zuu Khiid","Mongolia","Asia","Mongolian Magic","Religion","Man-made"
"Grand Palace","Thailand","Asia","High Wattage Palace","Palace/Castle","Man-made"
"Independence National Historic Park","USA","North America","Where the US began","Historical Site","Man-made"
