Name,Country,Description,Category,Origins
Parque Nacional dos Lencois Maranhenses,Brazil,Otherworldly Land of Dunes & Langoons,Water Feature,Natural
Polonnaruwa,Sri Lanka,Remnants of a Royal Kingdom,District/Square,Man-made
Santiago de Compostela Cathedral,Spain,The Flamboyant Climax to the Camino,Religion,Man-made
Komodo National Park,Indonesia,Where Dragons Still Roam,Wildlife,Natural
Kelvingrove Art Gallery & Museum,UK,Cathedreal of Scottish Culture,Museum,Man-made
Copan,Honduras,Honduras' Mayan Gem,Historical Site,Man-made
Hill of Crosses,Lithuania,Eerie Devotional Site,Religion,Man-made
Wolf's Lair,Poland,Hitler's Hideout,Historical Site,Man-made
Cartagena Old Town,Colombia,Caribbean Colourfest,District/Square,Man-made
Tsarskoe Selo,Russia,The Empress' Playground,Palace/Castle,Man-made
Mt Rushmore,US,Four Story Fellows,Geological Feature,Man-made
Butrint,Albania,Window into the Ancient World,Historical Site,Man-made
Burgess Shale,Canada,Dinosaur Lover's Delight,Historical Site,Natural
Loch Lomond,UK,Celtic Cracker,Water Feature,Natural
Blue Hole,Belize,Depth-Defying Adventure Awaits,Adventure/Activity,Natural
Thiksey Monastery,India,Monastic Kingdom,Religion,Man-made
National Palace Museum,Taiwan,The Dragon's (Art) Hoard,Museum,Man-made
Hadrian's Wall,UK,Wonderwall,Historical Site,Man-made
Galle Fort,Sri Lanka,Captivating Colonial-era Sea Fort,Palace/Castle,Man-made
Great Zimbabwe,Zimbabwe,Medieval Marvel,Palace/Castle,Man-made
Swayambhunath,Nepal,Intoxicating Electic Temple,Religion,Man-made
Tuoal Sleng & the Killing Fields,Cambodia,A Walk on Humanity's Dark Side,Historical Site,Man-made
Standing Stones of Callanis,UK,Silent Stone Sentinels,Religion,Man-made
Avebury Stone Circle,UK,Hub of Impenetrable Ancient Slabs,Historical Site,Man-made
Caracol,Belize,Belize's Hidden Mysterious Metropolis,Historical Site,Man-made
Malbork Castle,Poland,Knight at the Museum,Palace/Castle,Man-made
Temple of the Tooth,Sri Lanka,Sri Lanka's Gnasher Treasure,Religion,Man-made
La Boca District,Argentina,Mouth of the South,District/Square,Man-made
Heydar Aliyev Cultural Centre,Azerbaijan,Azerbaijin's Architectural Icon,Modern Attractions,Man-made
Kashgar's Grand Bazaar,China,Seductive Spice Temple,District/Square,Man-made
Bardo National Museum,Tunisia,North Africa's Majestic Mosiacs,Museum,Man-made
Salzwelten,Austria,Iron-age Salt Underworld,Historical Site,Man-made
Khao Sok National Park,Thailand,Where Tigers still Roam,Wildlife,Natural
Mansudae Grand Monument,North Korea,Epicentre of the Kim Cult,Historical Site,Man-made
Etosha National Park,Namibia,Big Game? A Stroll in the Park,Wildlife,Natural
Port Arthur,Australia,Beautifully Preserved Penitentiary,Historical Site,Man-made
Jungfraujoch,Switzerland,Out-of-this-World Alps Train Ride,Adventure/Activity,Man-made
Phu Quoc Island,Vietnam,Desert-island Dream,Water Feature,Natural
Melk Abbey,Austria,Monastic Golden Art,Religion,Man-made
Nazca Lines,Peru,A Beautiful Mystery,Historical Site,Man-made
Cementerio de le Recoleta,Argentina,Celebrity Cemetry,Religion,Man-made
Altun Ha,Belize,The Place Behind the Beer,Historical Site,Man-made
Khongoryn Els,Mongolia,Specutacular Dune Country,Nature Landscape,Natural
Titanic Belfast,UK,One Hull of a Museum,Museum,Man-made
Zwinger,Germany,Baroque Chamber,Palace/Castle,Man-made
Skeleton Coast,Namibia,Off-the-Chart Nature,Water Feature,Natural
Iona,UK,Scotland's Spiritual Heart,Water Feature,Natural
Stirling Castle,UK,Castle to Rival Edinburgh,Palace/Castle,Man-made
Zocalo,Mexico,Mexico City's Beating Heart,Historical Site,Man-made
Nyungwe Forest National Park,Rwanda,Chimps in the Deep Forest,Nature Landscape,Natural
St Fagans National History Museum,UK,History Brought to Life,Museum,Man-made
Eisriesenwelt,Austria,Ice Kingdom under the Mountain,Geological Feature,Natural
Pafos Archaeological Site,Cyprus,Ancient Greek City,Historical Site,Man-made
Lavena Costal Walk,Fiji,Amble in Paradise,Nature Landscape,Natural
Brandenburg Gate,Germany,Immortal Portal,Historical Site,Man-made
Amboseli National Park,Kenya,Elephants below Kilimanjaro,Wildlife,Natural
Ifugao (Banaue) Rice Terraces,Philippines,Vibrant Organic Art,Nature Landscape,Man-made
Carpathian National Park,Ukraine,Carpathian Adventure Land,Nature Landscape,Natural
Segovia's Acueducto,Spain,Surreal Symbol of Roman Ingenuity,Historical Site,Man-made
Ipanema Beach,Brazil,The World's Sexiest Beach,Water Feature,Natural
Matmata,Tunisia,Sci-fi Style Sleeping,Modern Attractions,Man-made
Everglades National Park,US,Florida's Sublime Swampland,Water Feature,Natural
Sea of Galilee,Israel,Beaches & Bible Stories,Water Feature,Natural
Ostrog Monastery,Montenegro,Montenegro's Miracle Monastery,Religion,Man-made
Kinderdijk Windmills,Netherlands,Peace Quiet & Whooshing Windmills,Modern Attractions,Man-made
Church of Sveti Jovan Bigorski,Macedonia,The World of an Icon,Religion,Man-made
Hal Saflieni Hypogeum,Malta,Malta's Most Mysterious Mausoleum,Historical Site,Man-made
Taipei 101,Taiwan,Tower Above Taipei,Modern Attractions,Man-made
Si Phan Don,Laos,Go with the Flow in Laos,Water Feature,Man-made
Church on the Spilled Blood,Russia,Church or Ice-cream Sundae,Religion,Man-made
Archipielago de San Blas,Panama,Panama's Secret Islands,Nature Landscape,Natural
Kyevo-Perherska Lavra,Ukraine,Mystery Mummies & Magic,Religion,Man-made
Horton Plains & World's End,Sri Lanka,Where the World (well Sri Lanka) Ends,Geological Feature,Natural
Mt Roraima,Venezuela,Enter the Lost World,Geological Feature,Natural
Nizwa Fort,Oman,Oman's Most Formidable Fort,Palace/Castle,Man-made
Bucovina Monastries,Romania,Wall-painting Wow!,Religion,Man-made
L'Anse aux Meadows,Canada,So the Vikings did discover America?,Historical Site,Natural
Black Forest,Germany,Germany's Fairy-tale Forest,Nature Landscape,Natural
Mt Fuji,Japan,Japan's Must-see Mountain,Geological Feature,Natural
The Mighty Volcano (Piton de la Fournaise),Reunion,Mordor in the Indian Ocean,Geological Feature,Natural
Mt Kenya,Kenya,Hit Glacial Equatorial Highs,Geological Feature,Natural
Kalon Minaret,Uzbekistan,Mighty mosque Mighty Minaret,Religion,Man-made
Trakai Castle,Lithuania,Live Life a Knight in Lithuania,Palace/Castle,Man-made
El-Jem,Tunisia,Africa's Great Amphitheatre,Historical Site,Man-made
Schilthorn,Switzerland,Views to Make Your Head Spin,Geological Feature,Natural
Griffith Observatory,US,LA's Real Map of the Stars,Modern Attractions,Man-made
Tower of London,UK,England's Crowning Jewel,Historical Site,Man-made
Trinity College,Ireland,University Greens,Modern Attractions,Man-made
Capital Castles,Luxembourg,Small Nation Big Castle Collection,Palace/Castle,Man-made
Camp Nou,Spain,Football's Catalan Home,Adventure/Activity,Man-made
Panama Canal,Panama,Short Cut from the Atlantic to the Pacific,Modern Attractions,Man-made
Bay Islands,Honduras,The Real Pirate Bay,Water Feature,Natural
Monet's Garden,France,Monet's Cornucopoa of Colour,Nature Landscape,Man-made
Grouse Mountain,Canada,View Vancouver like Eagles Do,Geological Feature,Natural
Graceland,US,Visit the King's Own Castle,Historical Site,Man-made
To Sua Ocean Trench,Samoa,Beautiful Blue Hole,Water Feature,Natural
Plaza Mayor,Cuba,Chilled Colonial Charm,District/Square,Man-made
Flander Fields,Belgium,In Flander Fields the Poppies Blow,Historical Site,Man-made
Pol-e Khaju,Iran,The Shah's Bridge,Historical Site,Man-made
Sanduny Baths,Russia,Moscow's Beautiful Banya,Adventure/Activity,Man-made
Canon del Colca,Peru,Truly Grand Canyon,Geological Feature,Natural
Spis Castle,Slovakia,Spooky Slovakian & Spectacular,Palace/Castle,Man-made
Aletsch Galcier,Switzerland,The Definitive River of Ice,Water Feature,Natural
Mt Ararat,Turkey,A Suitable Resting Place for an Ark,Geological Feature,Natural
Stingray City,Cayman Islands,What a Way to Catch Some Rays,Wildlife,Natural
Foteviken Viking Reserve,Sweden,Norse No Nonsense,Historical Site,Man-made
Wawel Castle,Poland,Poland's Pride,Palace/Castle,Man-made
Rock-Hewn Church of Tigray,Ethiopia,Heavenly Hewn Adventure,Religion,Man-made
Isla Mujeres,Mexico,Cancun's Blissful Backyard,Water Feature,Natural
Fingal's Caves,UK,Rocks Giants & Geometry,Geological Feature,Natural
Leaning Tower of Pisa,Italy,Tipping Point,Historical Site,Man-made
Orheiul Vechi,Moldova,Captivating Caverns,Geological Feature,Natural
Musee Oceanographique de Monaco,Monaco,Amazing Antique Aquarium,Museum,Man-made
Oslo Opera House,Norway,Ice-cool Design Icon,Modern Attractions,Man-made
Kolmanskop,Namibia,The Diamond Mining Town Abandoned to the Desert,Modern Attractions,Man-made
Mutrah Souq,Oman,Magical Muslim Marketplace,District/Square,Man-made
Rock of Cashel,Ireland,Rock of Ages,Palace/Castle,Man-made
Erdene Zuu Khiid,Mongolia,Mongolian Magic,Religion,Man-made
Grand Palace,Thailand,High Wattage Palace,Palace/Castle,Man-made
Independence National Historic Park,US,Where the US began,Historical Site,Man-made
